Field,Value
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.159
NormalizedEBITDA,43221000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,33916000000.0
ReconciledDepreciation,2848000000.0
ReconciledCostOfRevenue,64720000000.0
EBITDA,43221000000.0
EBIT,40373000000.0
NetInterestIncome,
InterestExpense,
InterestIncome,
NormalizedIncome,33916000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,33916000000.0
TotalExpenses,79202000000.0
TotalOperatingIncomeAsReported,40373000000.0
DilutedAverageShares,15576641000.0
BasicAverageShares,15509763000.0
DilutedEPS,2.18
BasicEPS,2.19
DilutedNIAvailtoComStockholders,33916000000.0
NetIncomeCommonStockholders,33916000000.0
NetIncome,33916000000.0
NetIncomeIncludingNoncontrollingInterests,33916000000.0
NetIncomeContinuousOperations,33916000000.0
TaxProvision,6407000000.0
PretaxIncome,40323000000.0
OtherIncomeExpense,-50000000.0
OtherNonOperatingIncomeExpenses,-50000000.0
NetNonOperatingInterestIncomeExpense,
InterestExpenseNonOperating,
InterestIncomeNonOperating,
OperatingIncome,40373000000.0
OperatingExpense,14482000000.0
ResearchAndDevelopment,7696000000.0
SellingGeneralAndAdministration,6786000000.0
GrossProfit,54855000000.0
CostOfRevenue,64720000000.0
TotalRevenue,119575000000.0
OperatingRevenue,119575000000.0
