Field,Value
FreeCashFlow,20694000000.0
RepurchaseOfCapitalStock,-23205000000.0
RepaymentOfDebt,-3148000000.0
IssuanceOfDebt,
CapitalExpenditure,-1996000000.0
InterestPaidSupplementalData,
IncomeTaxPaidSupplementalData,7276000000.0
EndCashPosition,33921000000.0
BeginningCashPosition,41974000000.0
ChangesInCash,-8053000000.0
FinancingCashFlow,-30433000000.0
CashFlowFromContinuingFinancingActivities,-30433000000.0
NetOtherFinancingCharges,-370000000.0
CashDividendsPaid,-3710000000.0
CommonStockDividendPaid,-3710000000.0
NetCommonStockIssuance,-23205000000.0
CommonStockPayments,-23205000000.0
NetIssuancePaymentsOfDebt,-3148000000.0
NetShortTermDebtIssuance,2000000.0
ShortTermDebtPayments,2000000.0
NetLongTermDebtIssuance,-3150000000.0
LongTermDebtPayments,-3150000000.0
LongTermDebtIssuance,
InvestingCashFlow,-310000000.0
CashFlowFromContinuingInvestingActivities,-310000000.0
NetOtherInvestingChanges,-445000000.0
NetInvestmentPurchaseAndSale,2131000000.0
SaleOfInvestment,17393000000.0
PurchaseOfInvestment,-15262000000.0
NetPPEPurchaseAndSale,-1996000000.0
PurchaseOfPPE,-1996000000.0
OperatingCashFlow,22690000000.0
CashFlowFromContinuingOperatingActivities,22690000000.0
ChangeInWorkingCapital,-5764000000.0
ChangeInOtherWorkingCapital,
ChangeInOtherCurrentLiabilities,428000000.0
ChangeInOtherCurrentAssets,-2981000000.0
ChangeInPayablesAndAccruedExpense,-12168000000.0
ChangeInPayable,-12168000000.0
ChangeInAccountPayable,-12168000000.0
ChangeInInventory,190000000.0
ChangeInReceivables,8767000000.0
ChangesInAccountReceivables,1172000000.0
OtherNonCashItems,-982000000.0
StockBasedCompensation,2964000000.0
DepreciationAmortizationDepletion,2836000000.0
DepreciationAndAmortization,2836000000.0
NetIncomeFromContinuingOperations,23636000000.0
