Field,Value
TreasurySharesNumber,
OrdinarySharesNumber,15337686000.0
ShareIssued,15337686000.0
NetDebt,71895000000.0
TotalDebt,104590000000.0
TangibleBookValue,74194000000.0
InvestedCapital,178784000000.0
WorkingCapital,4594000000.0
NetTangibleAssets,74194000000.0
CapitalLeaseObligations,
CommonStockEquity,74194000000.0
TotalCapitalization,166025000000.0
TotalEquityGrossMinorityInterest,74194000000.0
StockholdersEquity,74194000000.0
GainsLossesNotAffectingRetainedEarnings,-8960000000.0
OtherEquityAdjustments,-8960000000.0
RetainedEarnings,4339000000.0
CapitalStock,78815000000.0
CommonStock,78815000000.0
TotalLiabilitiesNetMinorityInterest,263217000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,139395000000.0
OtherNonCurrentLiabilities,47564000000.0
TradeandOtherPayablesNonCurrent,
LongTermDebtAndCapitalLeaseObligation,91831000000.0
LongTermCapitalLeaseObligation,
LongTermDebt,91831000000.0
CurrentLiabilities,123822000000.0
OtherCurrentLiabilities,57298000000.0
CurrentDeferredLiabilities,8012000000.0
CurrentDeferredRevenue,8012000000.0
CurrentDebtAndCapitalLeaseObligation,12759000000.0
CurrentCapitalLeaseObligation,
CurrentDebt,12759000000.0
OtherCurrentBorrowings,10762000000.0
CommercialPaper,1997000000.0
PayablesAndAccruedExpenses,45753000000.0
Payables,45753000000.0
TotalTaxPayable,
IncomeTaxPayable,
AccountsPayable,45753000000.0
TotalAssets,337411000000.0
TotalNonCurrentAssets,208995000000.0
OtherNonCurrentAssets,70262000000.0
NonCurrentDeferredAssets,
NonCurrentDeferredTaxesAssets,
InvestmentsAndAdvances,95187000000.0
OtherInvestments,
InvestmentinFinancialAssets,95187000000.0
AvailableForSaleSecurities,95187000000.0
NetPPE,43546000000.0
AccumulatedDepreciation,-71697000000.0
GrossPPE,115243000000.0
Leases,
OtherProperties,
MachineryFurnitureEquipment,
LandAndImprovements,
Properties,
CurrentAssets,128416000000.0
OtherCurrentAssets,13884000000.0
Inventory,6232000000.0
FinishedGoods,
RawMaterials,
Receivables,41150000000.0
OtherReceivables,19313000000.0
AccountsReceivable,21837000000.0
CashCashEquivalentsAndShortTermInvestments,67150000000.0
OtherShortTermInvestments,34455000000.0
CashAndCashEquivalents,32695000000.0
CashEquivalents,4468000000.0
CashFinancial,28227000000.0
